ScanTime,CowTag,InOrOut,Tray(IfApplicable)
2025-01-27 04:09:19,000000000840003267804616,Out,0
2025-01-27 04:09:38,000000000840003267804616,In,0
2025-01-27 04:10:24,000000000840003267804616,Out,0
2025-01-27 04:10:45,000000000840003267804616,In,0
2025-01-27 04:10:49,000000000840003267804616,Out,0
2025-01-27 04:11:18,000000000840003267804616,In,0
2025-01-27 04:11:29,000000000840003267804616,Out,0
2025-01-27 04:11:35,000000000840003267804616,In,0
2025-01-27 04:11:52,000000000840003267804616,Out,0
2025-01-27 04:12:02,000000000840003267804616,In,0
2025-01-27 04:12:07,000000000840003267804616,Out,0
2025-01-27 04:12:29,000000000840003229291852,In,0
2025-01-27 04:12:33,000000000840003229291852,Out,0
2025-01-27 04:12:35,000000000840003229291852,In,0
2025-01-27 04:12:40,000000000840003229291852,Out,0
2025-01-27 04:12:47,000000000840003229291852,In,0
2025-01-27 04:12:51,000000000840003229291852,Out,0
2025-01-27 04:12:53,000000000840003229291852,In,0
2025-01-27 04:12:57,000000000840003229291852,Out,0
2025-01-27 04:12:57,000000000840003229291852,In,0
2025-01-27 04:13:02,000000000840003229291852,Out,0
2025-01-27 04:13:02,000000000840003229291852,In,0
2025-01-27 04:13:07,000000000840003229291852,Out,0
2025-01-27 04:13:11,000000000840003229291852,In,0
2025-01-27 04:13:21,000000000840003229291852,Out,0
2025-01-27 04:13:24,000000000840003229291852,In,0
2025-01-27 04:13:47,000000000840003229291852,Out,0
2025-01-27 04:13:49,000000000840003229291852,In,0
2025-01-27 04:13:54,000000000840003229291852,Out,0
2025-01-27 04:13:54,000000000840003229291852,In,0
2025-01-27 04:14:04,000000000840003229291852,Out,0
2025-01-27 04:14:18,000000000840003229291852,In,0
2025-01-27 04:14:22,000000000840003229291852,Out,0
2025-01-27 04:15:22,000000000840003229291852,Out,0
2025-01-27 04:27:30,000000000840003209882154,In,0
2025-01-27 04:27:50,000000000840003209882154,Out,0
2025-01-27 04:28:50,000000000840003209882154,Out,0
2025-01-27 04:54:33,000000000840003267804612,In,0
2025-01-27 04:54:39,000000000840003267804612,Out,0
2025-01-27 04:55:21,000000000840003267804612,In,0
2025-01-27 04:55:33,000000000840003267804612,Out,0
2025-01-27 04:55:42,000000000840003267804612,In,0
2025-01-27 04:55:46,000000000840003267804612,Out,0
2025-01-27 04:55:59,000000000840003267804612,In,0
2025-01-27 04:56:06,000000000840003267804612,Out,0
2025-01-27 04:57:06,000000000840003267804612,Out,0
2025-01-27 04:57:33,000000000840003207277855,In,0
2025-01-27 04:57:44,000000000840003207277855,Out,0
2025-01-27 04:57:48,000000000840003207277855,In,0
2025-01-27 04:58:14,000000000840003207277855,Out,0
2025-01-27 04:58:33,000000000840003207277855,In,0
2025-01-27 04:58:47,000000000840003207277855,Out,0
2025-01-27 04:58:54,000000000840003267804624,In,0
2025-01-27 04:59:02,000000000840003267804624,Out,0
2025-01-27 04:59:32,000000000840003267804624,In,0
2025-01-27 04:59:36,000000000840003267804624,Out,0
2025-01-27 05:00:36,000000000840003267804624,Out,0
